id,name,latitude,longitude,population
AFG,Afghanistan,33.93911,67.709953,VLOW
AGO,Angola,-11.202692,17.873887,VLOW
ALB,Albania,41.153332,20.168331,VLOW
ARE,United Arab Emirates,23.424076,53.847818,VHIGH
ARG,Argentina,-38.416097,-63.616672,LOW
ARM,Armenia,40.069099,45.038189,HIGH
ATA,Antarctica,-75.250973,-0.071389,VLOW
ATF,French Southern and Antarctic Lands,-49.280366,69.348557,VLOW
AUS,Australia,-25.274398,133.775136,LOW
AUT,Austria,47.516231,14.550072,HIGH
AZE,Azerbaijan,40.143105,47.576927,VLOW
BDI,Burundi,-3.373056,29.918886,VLOW
BEL,Belgium,50.503887,4.469936,MED
BEN,Benin,9.30769,2.315834,VLOW
BFA,Burkina Faso,12.238333,-1.561593,VLOW
BGD,Bangladesh,23.684994,90.356331,VLOW
BGR,Bulgaria,42.733883,25.48583,MED
BHS,The Bahamas,25.03428,-77.39628,VLOW
BIH,Bosnia and Herzegovina,43.915886,17.679076,VLOW
BLR,Belarus,53.709807,27.953389,VLOW
BLZ,Belize,17.189877,-88.49765,VLOW
BMU,Bermuda,32.321384,-64.75737,VLOW
BOL,Bolivia (Plurinational State of),-16.290154,-63.588653,VLOW
BRA,Brazil,-14.235004,-51.92528,LOW
BRN,Brunei,4.535277,114.727669,VLOW
BTN,Bhutan,27.514162,90.433601,VLOW
BWA,Botswana,-22.328474,24.684866,VLOW
CAF,Central African Rep.,6.611111,20.939444,VLOW
CAN,Canada,56.130366,-106.346771,VHIGH
CHE,Switzerland,46.818188,8.227512,MED
CHL,Chile,-35.675147,-71.542969,VLOW
CHN,China,35.86166,104.195397,VLOW
CIV,C»te d'Ivoire,7.539989,-5.54708,VLOW
CMR,Cameroon,7.369722,12.354722,VLOW
COD,Dem. Rep. of the Congo,-4.038333,21.758664,VLOW
COG,Republic of the Congo,-0.228021,15.827659,VLOW
COL,Colombia,4.570868,-74.297333,VLOW
CRI,Costa Rica,9.748917,-83.753428,VLOW
CUB,Cuba,21.521757,-77.781167,VLOW
-99,Northern Cyprus,0,0,VLOW
CYP,Cyprus,35.126413,33.429859,LOW
CZE,Czech Rep.,49.817492,15.472962,VLOW
DEU,Germany,51.165691,10.451526,VHIGH
DJI,Djibouti,11.825138,42.590275,VLOW
DNK,Denmark,56.26392,9.501785,MED
DOM,Dominican Rep.,18.735693,-70.162651,VLOW
DZA,Algeria,28.033886,1.659626,HIGH
